Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time,Priority
38,15,1,0,15,3
30,46,1,15,61,5
1,18,2,61,79,1
24,16,3,78,94,2
22,15,4,93,108,1
93,44,4,108,152,1
11,4,7,149,153,5
88,41,7,153,194,5
32,29,9,192,221,3
41,1,11,219,220,1
21,40,12,219,259,2
72,45,12,259,304,3
20,46,13,303,349,1
17,20,14,348,368,2
3,26,16,366,392,5
65,29,16,392,421,5
57,26,17,420,446,2
100,29,17,446,475,4
25,47,18,474,521,2
23,36,18,521,557,3
14,1,19,556,557,3
67,3,19,557,560,5
2,27,20,559,586,1
16,38,20,586,624,1
47,29,21,623,652,1
51,26,21,652,678,2
26,44,22,677,721,4
34,16,23,720,736,2
58,37,23,736,773,3
86,20,24,772,792,1
66,18,24,792,810,4
96,26,24,810,836,5
55,28,25,835,863,3
12,19,25,863,882,4
29,2,27,880,882,1
84,29,27,882,911,3
10,16,27,911,927,5
80,30,27,927,957,5
63,40,29,955,995,5
18,28,31,993,1021,3
81,11,31,1021,1032,5
37,9,32,1031,1040,3
90,36,33,1039,1075,4
7,8,34,1074,1082,5
27,27,34,1082,1109,5
44,31,35,1108,1139,3
28,1,36,1138,1139,2
15,43,38,1137,1180,4
36,35,40,1178,1213,1
35,45,42,1211,1256,3
8,30,43,1255,1285,4
40,48,44,1284,1332,2
59,40,45,1331,1371,1
85,44,45,1371,1415,1
4,16,49,1411,1427,2
95,20,49,1427,1447,4
71,35,49,1447,1482,5
912,148,50,1481,1629,23
79,39,51,1628,1667,2
110,183,52,3384,3567,1
5,9,52,1702,1711,2
857,10,53,1710,1720,37
50,21,54,1719,1740,2
64,39,54,1740,1779,3
68,23,55,1778,1801,2
54,47,56,1800,1847,3
542,264,56,1847,2111,29
477,145,56,2111,2256,32
442,48,56,2256,2304,36
70,16,58,2302,2318,2
94,24,58,2318,2342,4
375,88,58,2342,2430,41
899,191,58,2430,2621,44
985,170,58,2621,2791,46
33,19,59,2790,2809,1
60,22,59,2809,2831,1
612,65,60,3534,3599,5
811,241,60,2855,3096,17
809,132,60,3096,3228,39
489,49,62,3226,3275,46
46,5,63,3274,3279,3
623,130,63,3279,3409,49
97,49,64,3595,3644,3
83,15,64,3644,3659,5
207,287,64,125814,126101,24
39,23,65,3792,3815,2
61,48,65,3815,3863,2
456,271,65,3863,4134,45
53,41,66,4133,4174,2
69,36,66,4174,4210,4
9,3,67,4209,4212,1
49,16,67,4212,4228,2
87,29,67,4228,4257,3
539,107,67,4257,4364,36
183,37,67,4364,4401,40
74,7,68,4400,4407,3
78,7,69,4406,4413,3
76,35,69,4413,4448,4
196,213,69,4448,4661,25
45,36,70,4660,4696,1
729,75,70,4696,4771,22
577,110,70,4771,4881,37
717,87,70,4881,4968,48
217,13,71,4967,4980,39
121,143,72,4979,5122,8
126,290,73,125969,126259,1
75,2,73,5244,5246,3
77,36,74,5245,5281,1
91,19,74,5281,5300,2
298,46,74,5300,5346,2
649,2,74,5346,5348,29
89,36,75,5347,5383,3
92,26,77,5381,5407,3
602,198,77,126177,126375,3
823,14,77,5485,5499,12
173,193,77,5499,5692,27
989,230,78,126276,126506,2
316,293,78,5789,6082,17
959,151,80,6080,6231,2
99,48,81,6230,6278,2
42,30,82,6277,6307,4
52,17,82,6307,6324,5
276,205,82,6324,6529,39
82,15,83,6528,6543,2
860,235,85,6541,6776,11
424,148,85,6776,6924,45
760,12,86,6923,6935,50
19,1,87,6934,6935,2
712,277,87,6935,7212,41
62,5,88,7211,7216,1
849,116,88,7216,7332,36
798,269,88,7332,7601,41
454,205,88,7601,7806,44
13,25,89,7805,7830,1
98,37,90,7829,7866,1
56,50,90,7866,7916,2
73,27,90,7916,7943,3
274,160,90,7943,8103,49
426,36,91,8102,8138,8
321,30,91,8138,8168,30
48,10,93,8166,8176,5
43,24,95,8174,8198,1
390,223,97,8196,8419,48
