Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time,Priority
38,15,1,0,15,3
30,46,1,15,61,5
1,18,2,133632,133650,1
24,16,3,133639,133655,2
22,15,4,133644,133659,1
93,44,4,500489,500533,1
11,4,7,60,64,5
88,41,7,393021,393062,5
32,29,9,293976,294005,3
41,1,11,64,65,1
21,40,12,500493,500533,2
72,45,12,500503,500548,3
20,46,13,500515,500561,1
17,20,14,207250,207270,2
3,26,16,207250,207276,5
65,29,16,293993,294022,5
57,26,17,294002,294028,2
100,29,17,70,99,4
25,47,18,500524,500571,2
23,36,18,393056,393092,3
14,1,19,99,100,3
67,3,19,100,103,5
2,27,20,294018,294045,1
16,38,20,393065,393103,1
47,29,21,294031,294060,1
51,26,21,294041,294067,2
26,44,22,294030,294074,4
34,16,23,133698,133714,2
58,37,23,393077,393114,3
86,20,24,207304,207324,1
66,18,24,123,141,4
96,26,24,207306,207332,5
55,28,25,294060,294088,3
12,19,25,144,163,4
29,2,27,161,163,1
84,29,27,294069,294098,3
10,16,27,77016,77032,5
80,30,27,294075,294105,5
63,40,29,393079,393119,5
18,28,31,294090,294118,3
81,11,31,36305,36316,5
37,9,32,77031,77040,3
90,36,33,172,208,4
7,8,34,1901,1909,5
27,27,34,207329,207356,5
44,31,35,393090,393121,3
28,1,36,212,213,2
15,43,38,294081,294124,4
36,35,40,393091,393126,1
35,45,42,500517,500562,3
8,30,43,226,256,4
40,48,44,500528,500576,2
59,40,45,500543,500583,1
85,44,45,500551,500595,1
4,16,49,133742,133758,2
95,20,49,254,274,4
71,35,49,294120,294155,5
912,148,50,276,424,23
79,39,51,393118,393157,2
110,183,52,1415723,1415906,1
5,9,52,36320,36329,2
857,10,53,424,434,37
50,21,54,207372,207393,2
64,39,54,500564,500603,3
68,23,55,207383,207406,2
54,47,56,613788,613835,3
542,264,56,435,699,29
477,145,56,699,844,32
442,48,56,844,892,36
70,16,58,133767,133783,2
94,24,58,891,915,4
375,88,58,915,1003,41
899,191,58,1003,1194,44
985,170,58,393026,393196,46
33,19,59,207405,207424,1
60,22,59,207410,207432,1
612,65,60,735484,735549,5
811,241,60,1246,1487,17
809,132,60,1487,1619,39
489,49,62,1617,1666,46
46,5,63,36338,36343,3
623,130,63,1666,1796,49
97,49,64,613797,613846,3
83,15,64,77068,77083,5
207,287,64,1188134,1188421,24
39,23,65,294185,294208,2
61,48,65,613830,613878,2
456,271,65,1087272,1087543,45
53,41,66,500628,500669,2
69,36,66,393221,393257,4
9,3,67,2050,2053,1
49,16,67,207463,207479,2
87,29,67,294219,294248,3
539,107,67,2056,2163,36
183,37,67,207458,207495,40
74,7,68,36364,36371,3
78,7,69,36366,36373,3
76,35,69,393228,393263,4
196,213,69,1270797,1271010,25
45,36,70,393249,393285,1
729,75,70,133793,133868,22
577,110,70,393204,393314,37
717,87,70,294214,294301,48
217,13,71,77139,77152,39
121,143,72,1087441,1087584,8
126,290,73,1481995,1482285,1
75,2,73,2279,2281,3
77,36,74,393300,393336,1
91,19,74,207543,207562,2
298,46,74,613880,613926,2
649,2,74,2285,2287,29
89,36,75,393318,393354,3
92,26,77,294313,294339,3
602,198,77,1439040,1439238,3
823,14,77,2290,2304,12
173,193,77,856216,856409,27
989,230,78,1456199,1456429,2
316,293,78,1438993,1439286,17
959,151,80,1335338,1335489,2
99,48,81,613946,613994,2
42,30,82,294364,294394,4
52,17,82,77186,77203,5
276,205,82,1270914,1271119,39
82,15,83,133947,133962,2
860,235,85,1188325,1188560,11
424,148,85,613918,614066,45
760,12,86,2379,2391,50
19,1,87,2390,2391,2
712,277,87,1188319,1188596,41
62,5,88,2392,2397,1
849,116,88,393369,393485,36
798,269,88,1087506,1087775,41
454,205,88,1270956,1271161,44
13,25,89,294456,294481,1
98,37,90,393485,393522,1
56,50,90,614085,614135,2
73,27,90,294474,294501,3
274,160,90,976491,976651,49
