Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time,Priority
38,15,1,0,15,3
30,46,1,15,61,5
1,18,2,60,78,1
24,16,3,77,93,2
22,15,4,92,107,1
93,44,4,107,151,1
11,4,7,148,152,5
88,41,7,152,193,5
32,29,9,191,220,3
41,1,11,218,219,1
21,40,12,3285,3325,2
72,45,12,3286,3331,3
20,46,13,292,338,1
17,20,14,337,357,2
3,26,16,355,381,5
65,29,16,381,410,5
57,26,17,409,435,2
100,29,17,435,464,4
25,47,18,3289,3336,2
14,1,19,498,499,3
23,36,18,500,536,3
67,3,19,535,538,5
2,27,20,537,564,1
47,29,21,563,592,1
16,38,20,593,631,1
51,26,21,630,656,2
26,44,22,3296,3340,4
34,16,23,690,706,2
58,37,23,706,743,3
86,20,24,742,762,1
66,18,24,762,780,4
96,26,24,780,806,5
55,28,25,805,833,3
12,19,25,833,852,4
29,2,27,850,852,1
84,29,27,852,881,3
10,16,27,881,897,5
80,30,27,897,927,5
63,40,29,925,965,5
18,28,31,963,991,3
81,11,31,991,1002,5
37,9,32,1001,1010,3
90,36,33,1009,1045,4
7,8,34,1044,1052,5
27,27,34,1052,1079,5
44,31,35,1078,1109,3
28,1,36,1108,1109,2
15,43,38,3288,3331,4
36,35,40,1141,1176,1
35,45,42,3288,3333,3
8,30,43,1212,1242,4
59,40,45,1276,1316,1
85,44,45,1316,1360,1
40,48,44,3295,3343,2
4,16,49,1356,1372,2
95,20,49,1372,1392,4
71,35,49,1392,1427,5
912,148,50,1426,1574,23
79,39,51,3300,3339,2
110,183,52,3229,3412,1
5,9,52,1717,1726,2
857,10,53,1725,1735,37
50,21,54,1734,1755,2
64,39,54,1755,1794,3
68,23,55,1793,1816,2
54,47,56,3369,3416,3
542,264,56,1854,2118,29
477,145,56,2118,2263,32
442,48,56,2263,2311,36
70,16,58,2309,2325,2
94,24,58,2325,2349,4
375,88,58,2349,2437,41
899,191,58,2437,2628,44
985,170,58,3275,3445,46
33,19,59,2766,2785,1
60,22,59,2785,2807,1
612,65,60,3398,3463,5
811,241,60,2851,3092,17
809,132,60,3092,3224,39
489,49,62,3222,3271,46
46,5,63,3460,3465,3
623,130,63,3465,3595,49
97,49,64,3594,3643,3
83,15,64,3643,3658,5
207,287,64,123405,123692,24
39,23,65,3874,3897,2
61,48,65,3897,3945,2
456,271,65,123475,123746,45
53,41,66,4160,4201,2
69,36,66,4201,4237,4
9,3,67,4236,4239,1
49,16,67,4239,4255,2
87,29,67,4255,4284,3
539,107,67,4284,4391,36
183,37,67,4391,4428,40
74,7,68,4427,4434,3
78,7,69,4433,4440,3
76,35,69,4440,4475,4
196,213,69,4475,4688,25
45,36,70,4687,4723,1
729,75,70,4723,4798,22
577,110,70,4798,4908,37
717,87,70,4908,4995,48
217,13,71,4994,5007,39
121,143,72,5006,5149,8
126,290,73,123540,123830,1
75,2,73,5346,5348,3
77,36,74,5347,5383,1
91,19,74,5383,5402,2
298,46,74,5402,5448,2
649,2,74,5448,5450,29
92,26,77,5447,5473,3
89,36,75,5475,5511,3
602,198,77,123669,123867,3
823,14,77,5666,5680,12
173,193,77,5680,5873,27
989,230,78,123678,123908,2
316,293,78,123686,123979,17
99,48,81,6279,6327,2
959,151,80,6328,6479,2
42,30,82,6477,6507,4
52,17,82,6507,6524,5
276,205,82,123776,123981,39
82,15,83,6722,6737,2
860,235,85,123762,123997,11
424,148,85,6951,7099,45
760,12,86,7098,7110,50
19,1,87,7109,7110,2
712,277,87,123774,124051,41
62,5,88,7330,7335,1
849,116,88,7335,7451,36
798,269,88,123829,124098,41
454,205,88,7672,7877,44
13,25,89,7876,7901,1
98,37,90,7900,7937,1
56,50,90,7937,7987,2
73,27,90,7987,8014,3
274,160,90,8014,8174,49
426,36,91,8173,8209,8
321,30,91,8209,8239,30
48,10,93,8237,8247,5
43,24,95,8245,8269,1
