Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time
38,15,1,0,15
41,1,11,35,36
14,1,19,28,29
28,1,36,12,13
29,2,27,22,24
67,3,19,32,35
11,4,7,47,51
7,8,34,24,32
37,9,32,34,43
81,11,31,44,55
22,15,4,82,97
24,16,3,98,114
34,16,23,94,110
10,16,27,106,122
30,46,1,118,164
1,18,2,163,181
66,18,24,159,177
12,19,25,176,195
17,20,14,206,226
86,20,24,216,236
3,26,16,244,270
57,26,17,269,295
51,26,21,291,317
96,26,24,314,340
2,27,20,344,371
27,27,34,357,384
55,28,25,393,421
18,28,31,415,443
19,1,87,1115,1116
659,1,187,1016,1017
926,1,274,930,931
319,1,429,776,777
992,1,569,637,638
471,1,682,525,526
32,29,9,1171,1200
65,29,16,1165,1194
100,29,17,1165,1194
47,29,21,1162,1191
84,29,27,1157,1186
75,2,73,1140,1142
649,2,74,1141,1143
169,2,130,1087,1089
138,2,193,1026,1028
310,2,370,851,853
520,2,565,658,660
621,2,599,626,628
80,30,27,1172,1202
8,30,43,1158,1188
9,3,67,1164,1167
145,3,372,862,865
788,3,439,798,801
665,3,773,467,470
44,31,35,1180,1211
822,4,157,1089,1093
325,4,356,894,898
315,4,359,895,899
230,4,424,834,838
381,4,454,808,812
459,4,616,650,654
303,4,954,316,320
444,4,960,314,318
46,5,63,1215,1220
62,5,88,1195,1200
854,5,250,1038,1043
839,5,532,761,766
352,5,767,531,536
551,6,560,743,749
128,6,815,494,500
266,6,943,372,378
74,7,68,1253,1260
78,7,69,1259,1266
105,7,409,926,933
636,7,522,820,827
591,7,788,561,568
36,35,40,1288,1323
435,8,109,1254,1262
872,8,109,1262,1270
408,8,133,1246,1254
964,8,365,1022,1030
229,8,773,622,630
689,8,801,602,610
210,8,948,463,471
23,36,18,1373,1409
90,36,33,1366,1402
5,9,52,1383,1392
807,9,189,1255,1264
611,9,614,839,848
377,9,756,706,715
666,9,965,506,515
58,37,23,1429,1466
857,10,53,1436,1446
48,10,93,1406,1416
749,10,336,1173,1183
826,10,377,1142,1152
16,38,20,1481,1519
385,11,139,1400,1411
760,12,86,1464,1476
880,12,235,1327,1339
812,12,236,1338,1350
