Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time
38,15,1,0,15
30,46,1,15,61
41,1,11,51,52
14,1,19,44,45
28,1,36,28,29
29,2,27,38,40
67,3,19,48,51
11,4,7,63,67
7,8,34,40,48
37,9,32,50,59
5,9,52,39,48
857,10,53,47,57
81,11,31,79,90
22,15,4,117,132
24,16,3,133,149
34,16,23,129,145
10,16,27,141,157
4,16,49,135,151
70,16,58,142,158
1,18,2,214,232
66,18,24,210,228
12,19,25,227,246
33,19,59,212,231
17,20,14,276,296
86,20,24,286,306
95,20,49,281,301
50,21,54,296,317
60,22,59,312,334
68,23,55,338,361
94,24,58,358,382
3,26,16,424,450
57,26,17,449,475
51,26,21,471,497
96,26,24,494,520
2,27,20,524,551
27,27,34,537,564
55,28,25,573,601
18,28,31,595,623
32,29,9,645,674
65,29,16,667,696
100,29,17,695,724
47,29,21,720,749
84,29,27,743,772
80,30,27,772,802
8,30,43,786,816
44,31,35,824,855
36,35,40,850,885
71,35,49,876,911
23,36,18,942,978
90,36,33,963,999
58,37,23,1009,1046
16,38,20,1049,1087
79,39,51,1056,1095
64,39,54,1092,1131
21,40,12,1173,1213
63,40,29,1196,1236
59,40,45,1220,1260
88,41,7,1298,1339
15,43,38,1308,1351
93,44,4,1385,1429
26,44,22,1411,1455
85,44,45,1432,1476
72,45,12,1509,1554
35,45,42,1524,1569
20,46,13,1598,1644
25,47,18,1639,1686
54,47,56,1648,1695
40,48,44,1707,1755
442,48,56,1743,1791
489,49,62,1785,1834
612,65,60,1836,1901
375,88,58,1903,1991
19,1,87,2354,2355
659,1,187,2255,2256
926,1,274,2169,2170
319,1,429,2015,2016
992,1,569,1876,1877
471,1,682,1764,1765
75,2,73,2374,2376
649,2,74,2375,2377
169,2,130,2321,2323
138,2,193,2260,2262
310,2,370,2085,2087
520,2,565,1892,1894
621,2,599,1860,1862
9,3,67,2394,2397
145,3,372,2092,2095
788,3,439,2028,2031
665,3,773,1697,1700
822,4,157,2316,2320
325,4,356,2121,2125
315,4,359,2122,2126
230,4,424,2061,2065
381,4,454,2035,2039
459,4,616,1877,1881
303,4,954,1543,1547
444,4,960,1541,1545
46,5,63,2442,2447
62,5,88,2422,2427
854,5,250,2265,2270
839,5,532,1988,1993
352,5,767,1758,1763
551,6,560,1970,1976
128,6,815,1721,1727
266,6,943,1599,1605
74,7,68,2480,2487
78,7,69,2486,2493
105,7,409,2153,2160
636,7,522,2047,2054
591,7,788,1788,1795
435,8,109,2474,2482
872,8,109,2482,2490
408,8,133,2466,2474
964,8,365,2242,2250
229,8,773,1842,1850
689,8,801,1822,1830
210,8,948,1683,1691
807,9,189,2450,2459
611,9,614,2034,2043
377,9,756,1901,1910
666,9,965,1701,1710
48,10,93,2582,2592
749,10,336,2349,2359
826,10,377,2318,2328
385,11,139,2566,2577
760,12,86,2630,2642
880,12,235,2493,2505
812,12,236,2504,2516
853,12,450,2302,2314
192,12,619,2145,2157
217,13,71,2705,2718
522,13,485,2304,2317
236,13,507,2295,2308
823,14,77,2738,2752
757,14,299,2530,2544
437,14,649,2194,2208
411,14,712,2145,2159
83,15,64,2807,2822
82,15,83,2803,2818
643,15,837,2064,2079
127,15,994,1922,1937
516,15,998,1933,1948
49,16,67,2879,2895
897,16,196,2766,2782
108,16,802,2176,2192
52,17,82,2912,2929
775,17,459,2552,2569
