Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time
38,15,1,0,15
41,1,11,43,44
14,1,19,36,37
28,1,36,20,21
29,2,27,30,32
67,3,19,40,43
11,4,7,55,59
7,8,34,32,40
30,46,1,35,81
37,9,32,50,59
5,9,52,39,48
857,10,53,47,57
81,11,31,79,90
22,15,4,117,132
24,16,3,133,149
34,16,23,129,145
10,16,27,141,157
4,16,49,135,151
1,18,2,198,216
66,18,24,194,212
12,19,25,211,230
17,20,14,241,261
86,20,24,251,271
95,20,49,246,266
50,21,54,261,282
3,26,16,320,346
57,26,17,345,371
51,26,21,367,393
96,26,24,390,416
2,27,20,420,447
27,27,34,433,460
55,28,25,469,497
18,28,31,491,519
32,29,9,541,570
65,29,16,563,592
100,29,17,591,620
47,29,21,616,645
84,29,27,639,668
80,30,27,668,698
8,30,43,682,712
44,31,35,720,751
36,35,40,746,781
71,35,49,772,807
23,36,18,838,874
90,36,33,859,895
58,37,23,905,942
16,38,20,945,983
79,39,51,952,991
64,39,54,988,1027
21,40,12,1069,1109
63,40,29,1092,1132
59,40,45,1116,1156
88,41,7,1194,1235
15,43,38,1204,1247
93,44,4,1281,1325
26,44,22,1307,1351
85,44,45,1328,1372
72,45,12,1405,1450
35,45,42,1420,1465
20,46,13,1494,1540
25,47,18,1535,1582
40,48,44,1556,1604
19,1,87,1773,1774
659,1,187,1674,1675
926,1,274,1588,1589
319,1,429,1434,1435
992,1,569,1295,1296
471,1,682,1183,1184
75,2,73,1793,1795
649,2,74,1794,1796
169,2,130,1740,1742
138,2,193,1679,1681
310,2,370,1504,1506
520,2,565,1311,1313
621,2,599,1279,1281
9,3,67,1813,1816
145,3,372,1511,1514
788,3,439,1447,1450
665,3,773,1116,1119
822,4,157,1735,1739
325,4,356,1540,1544
315,4,359,1541,1545
230,4,424,1480,1484
381,4,454,1454,1458
459,4,616,1296,1300
303,4,954,962,966
444,4,960,960,964
46,5,63,1861,1866
62,5,88,1841,1846
854,5,250,1684,1689
839,5,532,1407,1412
352,5,767,1177,1182
551,6,560,1389,1395
128,6,815,1140,1146
266,6,943,1018,1024
74,7,68,1899,1906
78,7,69,1905,1912
105,7,409,1572,1579
636,7,522,1466,1473
591,7,788,1207,1214
435,8,109,1893,1901
872,8,109,1901,1909
408,8,133,1885,1893
964,8,365,1661,1669
229,8,773,1261,1269
689,8,801,1241,1249
210,8,948,1102,1110
807,9,189,1869,1878
611,9,614,1453,1462
377,9,756,1320,1329
666,9,965,1120,1129
48,10,93,2001,2011
749,10,336,1768,1778
826,10,377,1737,1747
385,11,139,1985,1996
760,12,86,2049,2061
880,12,235,1912,1924
812,12,236,1923,1935
853,12,450,1721,1733
192,12,619,1564,1576
217,13,71,2124,2137
522,13,485,1723,1736
236,13,507,1714,1727
823,14,77,2157,2171
757,14,299,1949,1963
437,14,649,1613,1627
411,14,712,1564,1578
83,15,64,2226,2241
82,15,83,2222,2237
643,15,837,1483,1498
127,15,994,1341,1356
516,15,998,1352,1367
70,16,58,2307,2323
49,16,67,2314,2330
897,16,196,2201,2217
108,16,802,1611,1627
52,17,82,2347,2364
775,17,459,1987,2004
610,17,604,1859,1876
657,17,950,1530,1547
122,18,222,2275,2293
527,18,379,2136,2154
543,18,763,1770,1788
33,19,59,2492,2511
91,19,74,2496,2515
608,19,198,2391,2410
783,19,309,2299,2318
572,19,375,2252,2271
954,19,451,2195,2214
966,19,999,1666,1685
132,20,332,2352,2372
226,21,179,2525,2546
370,21,255,2470,2491
227,21,606,2140,2161
60,22,59,2708,2730
599,22,943,1846,1868
68,23,55,2756,2779
39,23,65,2769,2792
332,23,250,2607,2630
691,23,830,2050,2073
94,24,58,2845,2869
43,24,95,2832,2856
13,25,89,2862,2887
6,25,99,2877,2902
404,25,293,2708,2733
896,25,389,2637,2662
709,25,891,2160,2185
92,26,77,2999,3025
468,26,297,2805,2831
877,26,366,2762,2788
168,26,408,2746,2772
868,26,807,2373,2399
808,26,905,2301,2327
73,27,90,3142,3169
279,27,599,2660,2687
246,27,782,2504,2531
669,27,801,2512,2539
830,28,314,3026,3054
87,29,67,3301,3330
742,29,137,3260,3289
136,29,416,3010,3039
447,29,637,2818,2847
42,30,82,3402,3432
321,30,91,3423,3453
348,30,411,3133,3163
219,30,644,2930,2960
179,30,852,2752,2782
275,31,576,3058,3089
251,31,580,3085,3116
620,32,409,3287,3319
366,32,658,3070,3102
525,33,139,3621,3654
590,33,613,3180,3213
452,33,887,2939,2972
840,34,114,3745,3779
703,34,245,3648,3682
594,34,249,3678,3712
852,34,425,3536,3570
76,35,69,3926,3961
984,35,577,3453,3488
69,36,66,3999,4035
45,36,70,4031,4067
77,36,74,4063,4099
89,36,75,4098,4134
426,36,91,4118,4154
205,36,390,3855,3891
930,36,497,3784,3820
399,36,585,3732,3768
183,37,67,4286,4323
98,37,90,4300,4337
920,37,445,3982,4019
921,37,564,3900,3937
436,37,993,3508,3545
523,38,111,4427,4465
844,38,126,4450,4488
165,38,418,4196,4234
605,38,562,4090,4128
578,38,834,3856,3894
615,38,877,3851,3889
501,39,400,4366,4405
679,39,849,3956,3995
922,40,489,4355,4395
498,40,571,4313,4353
53,41,66,4858,4899
645,41,575,4390,4431
469,41,986,4020,4061
124,41,993,4054,4095
842,42,849,4239,4281
895,42,951,4179,4221
912,148,50,5016,5164
988,43,866,4348,4391
324,44,874,4383,4427
902,45,301,5000,5045
533,45,331,5015,5060
886,45,346,5045,5090
638,45,651,4785,4830
298,46,74,5407,5453
547,46,150,5377,5423
535,46,177,5396,5442
796,46,177,5442,5488
814,46,429,5236,5282
879,46,550,5161,5207
540,46,558,5199,5245
550,46,810,4993,5039
684,46,934,4915,4961
54,47,56,5839,5886
31,47,99,5843,5890
288,47,659,5330,5377
356,47,683,5353,5400
323,47,721,5362,5409
707,47,879,5251,5298
442,48,56,6121,6169
61,48,65,6160,6208
99,48,81,6192,6240
698,48,944,5377,5425
489,49,62,6307,6356
97,49,64,6354,6403
648,49,382,6085,6134
56,50,90,6426,6476
204,51,194,6372,6423
898,51,447,6170,6221
770,51,718,5950,6001
197,52,580,6139,6191
455,53,235,6536,6589
431,53,442,6382,6435
851,53,611,6266,6319
625,53,849,6081,6134
778,53,853,6130,6183
932,54,524,6512,6566
937,55,98,6992,7047
730,55,632,6513,6568
232,55,940,6260,6315
357,55,954,6301,6356
687,56,140,7170,7226
221,56,317,7049,7105
917,56,746,6676,6732
416,57,309,7169,7226
118,57,672,6863,6920
231,57,862,6730,6787
290,57,888,6761,6818
688,58,151,7555,7613
723,58,518,7246,7304
347,58,524,7298,7356
380,59,377,7503,7562
374,59,726,7213,7272
695,59,824,7174,7233
948,59,927,7130,7189
541,60,288,7828,7888
556,60,431,7745,7805
864,60,546,7690,7750
400,60,632,7664,7724
402,60,721,7635,7695
816,61,470,7946,8007
500,61,595,7882,7943
953,61,666,7872,7933
166,61,930,7669,7730
841,62,103,8557,8619
603,63,265,8457,8520
269,63,307,8478,8541
284,63,347,8501,8564
293,63,505,8406,8469
517,63,757,8217,8280
949,64,275,8762,8826
155,64,301,8800,8864
482,64,739,8426,8490
612,65,60,9169,9234
794,65,98,9196,9261
781,65,324,9035,9100
186,65,350,9074,9139
449,65,395,9094,9159
526,65,866,8688,8753
965,66,135,9484,9550
604,66,227,9458,9524
272,66,394,9357,9423
554,67,351,9466,9533
628,67,353,9531,9598
396,68,141,9810,9878
112,68,225,9794,9862
409,68,466,9621,9689
181,68,480,9675,9743
900,68,630,9593,9661
307,68,884,9407,9475
300,69,111,10248,10317
474,69,375,10053,10122
664,69,481,10016,10085
264,69,654,9912,9981
389,69,740,9895,9964
103,69,767,9937,10006
563,70,231,10542,10612
701,70,348,10495,10565
821,70,724,10189,10259
137,70,866,10117,10187
866,71,107,10946,11017
538,71,609,10515,10586
338,71,764,10431,10502
349,72,289,10977,11049
